MURDGRP,SEX,MSA_LABEL,WEAPON_CODE,TOTAL,SOLVED,PERCENT,WEAPON_LABEL,REL_UNK_RATE,REL_TOP1,CIRC_UNK_RATE,CIRC_TOP1,UNSOLVED,REPORT_GAP_IDX
54145251,2,"Salt Lake City, UT",16,20,5,0.25,Strangulation - hanging,0.7,Stranger,0.45,Rape,15,0.575
91467989,2,"Nashville-Davidson-Murfreesboro, TN",16,18,5,0.2777777777777778,Strangulation - hanging,0.6666666666666666,Girlfriend,0.6111111111111112,Other arguments,13,0.6388888888888888
61128743,2,"Wichita, KS",16,16,5,0.3125,Strangulation - hanging,0.625,Stranger,0.625,Other,11,0.625
86374478,2,"Springfield, OH",10,13,4,0.3076923076923077,Other or type unknown,0.6923076923076923,Girlfriend,1.0,—,9,0.8461538461538461
4545569,2,"Worcester, MA",16,11,3,0.2727272727272727,Strangulation - hanging,0.6363636363636364,Acquaintance,0.5454545454545454,Narcotic drug laws,8,0.5909090909090908
88980275,2,"Flint, MI",16,11,3,0.2727272727272727,Strangulation - hanging,0.7272727272727273,Wife,0.8181818181818182,Prostitution and commercialized vice,8,0.7727272727272727
