MURDGRP,SEX,MSA_LABEL,WEAPON_CODE,TOTAL,SOLVED,PERCENT,WEAPON_LABEL,REL_UNK_RATE,REL_TOP1,CIRC_UNK_RATE,CIRC_TOP1,UNSOLVED,REPORT_GAP_IDX
66774176,2,"Janesville, WI",14,2,2,1.0,Rifle,0.0,Other - known to victim,0.5,Other arguments,0,0.25
66920170,2,"Hagerstown-Martinsburg, MD-WV",16,2,2,1.0,Strangulation - hanging,0.0,Girlfriend,0.0,Other arguments,0,0.0
67333192,2,"Scranton--Wilkes-Barre, PA",13,2,2,1.0,Pushed or thrown out window,0.5,Acquaintance,0.5,Other arguments,0,0.5
67487150,2,"Provo-Orem, UT",14,2,2,1.0,Rifle,0.0,Other - known to victim,0.0,Other,0,0.0
68441051,2,"Toledo, OH",3,2,2,1.0,Explosives,0.5,Wife,0.5,Other,0,0.5
68678354,2,"Bowling Green, KY",2,2,2,1.0,Drowning,0.0,Other family,0.0,Other,0,0.0
68682743,2,"Fond du Lac, WI",15,2,2,1.0,Shotgun,0.0,Wife,0.0,Other arguments,0,0.0
68811729,2,"Oklahoma City, OK",12,2,2,1.0,Poison - does not include gas,0.0,Daughter,0.0,All other manslaughter by negligence,0,0.0
69002437,2,"Muncie, IN",11,2,2,1.0,"Personal weapons, includes beating",0.0,Girlfriend,0.0,Other arguments,0,0.0
69056475,2,"Holland-Grand Haven, MI",14,2,2,1.0,Rifle,0.0,Other - known to victim,0.5,Other arguments,0,0.25
69127579,2,"Little Rock-North Little Rock, AR",8,2,2,1.0,"Narcotics or drugs, sleeping pills",0.0,Daughter,0.0,Narcotic drug laws,0,0.0
69412353,2,"Provo-Orem, UT",1,2,2,1.0,"Blunt object - hammer, club, etc",0.0,Girlfriend,0.0,Other arguments,0,0.0
69778807,2,"Alexandria, LA",0,2,2,1.0,Asphyxiation - includes death by gas,0.0,Acquaintance,0.5,Other arguments,0,0.25
69969490,2,"Springfield, IL",0,2,2,1.0,Asphyxiation - includes death by gas,0.0,Girlfriend,0.5,Rape,0,0.25
70135406,2,"Michigan City-La Porte, IN",14,2,2,1.0,Rifle,0.0,Acquaintance,0.0,Other,0,0.0
70529415,2,"Punta Gorda, FL",1,2,2,1.0,"Blunt object - hammer, club, etc",0.5,Mother,0.0,Other arguments,0,0.25
71151185,2,"Champaign-Urbana, IL",16,2,2,1.0,Strangulation - hanging,0.0,Other - known to victim,0.5,Other arguments,0,0.25
71493470,2,"Sherman-Denison, TX",4,2,2,1.0,Fire,0.0,Stranger,0.0,Arson,0,0.0
72123334,2,"Riverside-San Bernardino, CA",3,2,2,1.0,Explosives,0.0,Daughter,0.0,Narcotic drug laws,0,0.0
72431815,2,"Lawrence, KS",5,2,2,1.0,"Firearm, type not stated",0.0,Daughter,0.0,Other arguments,0,0.0
72724016,2,"Binghamton, NY",14,2,2,1.0,Rifle,0.0,Common-law wife,0.5,Other arguments,0,0.25
73200891,2,"Boulder, CO",15,2,2,1.0,Shotgun,0.0,Wife,0.0,Other,0,0.0
73253055,2,"Greenville, SC",2,2,2,1.0,Drowning,0.0,Acquaintance,0.0,Lovers triangle,0,0.0
73280487,2,"Portland-South Portland-Biddeford, ME",9,2,2,1.0,Other gun,0.0,Wife,0.0,Other arguments,0,0.0
73349649,2,"Sandusky, OH",1,2,2,1.0,"Blunt object - hammer, club, etc",0.0,Wife,0.0,Other arguments,0,0.0
73481077,2,"Lewiston-Auburn, ME",15,2,2,1.0,Shotgun,0.0,Mother,0.0,Other,0,0.0
73868963,2,"Holland-Grand Haven, MI",1,2,2,1.0,"Blunt object - hammer, club, etc",0.0,Wife,0.5,Other arguments,0,0.25
74054347,2,"Fort Collins-Loveland, CO",9,2,2,1.0,Other gun,0.0,Other - known to victim,0.5,Other,0,0.25
74070078,2,"Holland-Grand Haven, MI",16,2,2,1.0,Strangulation - hanging,0.0,Stranger,0.0,Rape,0,0.0
74462020,2,"South Bend-Mishawaka, IN-MI",0,2,2,1.0,Asphyxiation - includes death by gas,0.0,Wife,0.5,Other arguments,0,0.25
74536153,2,"Ogden-Clearfield, UT",3,2,2,1.0,Explosives,0.0,Wife,0.0,Other arguments,0,0.0
74620028,2,"Portland-Vancouver-Beaverton, OR-WA",3,2,2,1.0,Explosives,0.0,Stranger,0.5,Other,0,0.25
75448696,2,"Rochester, NY",8,2,2,1.0,"Narcotics or drugs, sleeping pills",0.0,Acquaintance,0.0,Narcotic drug laws,0,0.0
76009995,2,"Columbia, MO",17,2,2,1.0,Weapon Not Reported,1.0,—,1.0,—,0,1.0
76098189,2,"Harrisburg-Carlisle, PA",2,2,2,1.0,Drowning,0.0,Mother,0.0,Other,0,0.0
76412317,2,"La Crosse, WI-MN",10,2,2,1.0,Other or type unknown,0.0,Daughter,0.5,Other arguments,0,0.25
76430179,2,"Panama City-Lynn Haven, FL",15,2,2,1.0,Shotgun,0.5,Wife,0.0,Other negligent handling of gun,0,0.25
76538645,2,"Fairbanks, AK",16,2,2,1.0,Strangulation - hanging,0.0,Acquaintance,0.0,Rape,0,0.0
77428509,2,"Lewiston, ID-WA",1,2,2,1.0,"Blunt object - hammer, club, etc",0.0,Acquaintance,0.5,Other,0,0.25
77442724,2,"Killeen-Temple-Fort Hood, TX",12,2,2,1.0,Poison - does not include gas,0.0,Daughter,0.0,Other,0,0.0
78218483,2,"Monroe, MI",0,2,2,1.0,Asphyxiation - includes death by gas,0.5,Daughter,0.0,All other manslaughter by negligence,0,0.25
78820451,2,"Dubuque, IA",15,2,2,1.0,Shotgun,0.0,Girlfriend,0.0,Other,0,0.0
78840903,2,"Sumter, SC",4,2,2,1.0,Fire,0.0,Other family,0.0,Motor vehicle theft,0,0.0
79185035,2,"Beaumont-Port Arthur, TX",2,2,2,1.0,Drowning,0.0,Daughter,0.0,Other,0,0.0
80972159,2,"Santa Rosa-Petaluma, CA",8,2,2,1.0,"Narcotics or drugs, sleeping pills",0.0,Other - known to victim,0.0,Other,0,0.0
81124107,2,"Allentown-Bethlehem-Easton, PA-NJ",13,2,2,1.0,Pushed or thrown out window,0.5,Acquaintance,0.0,Other arguments,0,0.25
81237191,2,Rural Iowa,17,2,2,1.0,Weapon Not Reported,1.0,—,1.0,—,0,1.0
81244951,2,"Jefferson City, MO",1,2,2,1.0,"Blunt object - hammer, club, etc",0.0,Mother,0.0,Other,0,0.0
81804804,2,"Morristown, TN",5,2,2,1.0,"Firearm, type not stated",0.5,Ex-husband,0.5,Other arguments,0,0.5
82141873,2,"Las Vegas-Paradise, NV",17,2,2,1.0,Weapon Not Reported,1.0,—,1.0,—,0,1.0
82593933,2,"Yakima, WA",0,2,2,1.0,Asphyxiation - includes death by gas,0.0,Other - known to victim,0.0,Other,0,0.0
83268553,2,Rural Mississippi,8,2,2,1.0,"Narcotics or drugs, sleeping pills",0.0,Wife,0.0,Other,0,0.0
83606679,2,"Modesto, CA",2,2,2,1.0,Drowning,0.0,Daughter,0.0,All other manslaughter by negligence,0,0.0
83650485,2,"Morgantown, WV",5,2,2,1.0,"Firearm, type not stated",0.0,Wife,0.5,Other,0,0.25
