MURDGRP,SEX,MSA_LABEL,WEAPON_CODE,TOTAL,SOLVED,PERCENT,WEAPON_LABEL,UNSOLVED
89424697,2,"Chicago-Naperville-Joliet, IL-IN-WI",17,18,0,0.0,Weapon Not Reported,18
54145251,2,"Salt Lake City, UT",16,20,5,0.25,Strangulation - hanging,15
